PKM_Name;Gnum;Pnum;Chain_Name;ChainStructure;Chain_Structure_Act;Chain_ShortName
P3RRPRR6G9P8A1;9;8;S5RRPRR6;{\`R}{\`R}{P}{\'R}{\'R};{\`R}{\`R}\underline{P}{\'R}{\'R};RRPRR
P3RRPRR7G1P2A1;1;2;S5RRPRR7;{\`R}{\`R}{P}{\'R}{\'R};{\`R}{\`R}\underline{P}{\'R}{\'R};RRPRR
P3RRPRR7G1P3A1;1;3;S5RRPRR7;{\`R}{\`R}{P}{\'R}{\'R};{\`R}{\`R}\underline{P}{\'R}{\'R};RRPRR
P3RRPRR7G2P3A1;2;3;S5RRPRR7;{\`R}{\`R}{P}{\'R}{\'R};{\`R}{\`R}\underline{P}{\'R}{\'R};RRPRR
P3RRPRR7G3P2A1;3;2;S5RRPRR7;{\`R}{\`R}{P}{\'R}{\'R};{\`R}{\`R}\underline{P}{\'R}{\'R};RRPRR
P4PRRRR6G3P1A1;3;1;S5PRRRR6;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRRRR
P4PRRRR6G9P3A1;9;3;S5PRRRR6;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRRRR
P4PRRRR6V1G3P1A1;3;1;S5PRRRR6V1;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRUR
P4PRRRR6V1G3P3A1;3;3;S5PRRRR6V1;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRUR
P4PRRRR6V1G9P2A1;9;2;S5PRRRR6V1;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRUR
P4PRRRR8G3P1A1;3;1;S5PRRRR8;{P}{\`R}{\'R}{\'R}{\`R};\underline{P}{\`R}{\'R}{\'R}{\`R};PRRRR
P4PRRRR8V2G2P1A1;2;1;S5PRRRR8V2;{P}{\`R}{\'R}{\'R}{\`R};\underline{P}{\`R}{\'R}{\'R}{\`R};PRRU
P4RRPRR7G3P1A1;3;1;S5RRPRR7;{\`R}{\`R}{P}{\'R}{\'R};{\`R}{\`R}\underline{P}{\'R}{\'R};RRPRR
P3RRRRR10G1P1A1;1;1;S5RRRRR10;{\`R}{\`R}{\'R}{\'R}{\`R};\underline{\`R}{\`R}{\'R}{\'R}{\`R};RRRRR
P3RRRRR10G1P1A2;1;1;S5RRRRR10;{\`R}{\`R}{\'R}{\'R}{\`R};{\`R}\underline{\`R}{\'R}{\'R}{\`R};RRRRR
P3RRRRR10G2P2A1;2;2;S5RRRRR10;{\`R}{\`R}{\'R}{\'R}{\`R};\underline{\`R}{\`R}{\'R}{\'R}{\`R};RRRRR
P3RRRRR10G2P2A2;2;2;S5RRRRR10;{\`R}{\`R}{\'R}{\'R}{\`R};{\`R}\underline{\`R}{\'R}{\'R}{\`R};RRRRR
P3RRRRR10G3P3A1;3;3;S5RRRRR10;{\`R}{\`R}{\'R}{\'R}{\`R};\underline{\`R}{\`R}{\'R}{\'R}{\`R};RRRRR
P3RRRRR10G3P3A2;3;3;S5RRRRR10;{\`R}{\`R}{\'R}{\'R}{\`R};{\`R}\underline{\`R}{\'R}{\'R}{\`R};RRRRR
P3RRRRR10V1G1P1A1;1;1;S5RRRRR10V1;{\`R}{\`R}{\'R}{\'R}{\`R};\underline{\`R}{\`R}{\'R}{\'R}{\`R};RUU
P3RRRRR10V1G2P2A1;2;2;S5RRRRR10V1;{\`R}{\`R}{\'R}{\'R}{\`R};\underline{\`R}{\`R}{\'R}{\'R}{\`R};RUU
P3RRRRR10V1G3P3A1;3;3;S5RRRRR10V1;{\`R}{\`R}{\'R}{\'R}{\`R};\underline{\`R}{\`R}{\'R}{\'R}{\`R};RUU
P3RRRRR10V2G1P1A1;1;1;S5RRRRR10V2;{\`R}{\`R}{\'R}{\'R}{\`R};\underline{\`R}{\`R}{\'R}{\'R}{\`R};RRRU
P3RRRRR10V2G1P1A2;1;1;S5RRRRR10V2;{\`R}{\`R}{\'R}{\'R}{\`R};{\`R}\underline{\`R}{\'R}{\'R}{\`R};RRRU
P3RRRRR10V2G2P2A1;2;2;S5RRRRR10V2;{\`R}{\`R}{\'R}{\'R}{\`R};\underline{\`R}{\`R}{\'R}{\'R}{\`R};RRRU
P3RRRRR10V2G2P2A2;2;2;S5RRRRR10V2;{\`R}{\`R}{\'R}{\'R}{\`R};{\`R}\underline{\`R}{\'R}{\'R}{\`R};RRRU
P3RRRRR10V2G3P3A1;3;3;S5RRRRR10V2;{\`R}{\`R}{\'R}{\'R}{\`R};\underline{\`R}{\`R}{\'R}{\'R}{\`R};RRRU
P3RRRRR10V2G3P3A2;3;3;S5RRRRR10V2;{\`R}{\`R}{\'R}{\'R}{\`R};{\`R}\underline{\`R}{\'R}{\'R}{\`R};RRRU
P3RRRRR5G1P2A1;1;2;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5G1P2A2;1;2;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5G1P3A1;1;3;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5G1P3A2;1;3;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5G2P1A1;2;1;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5G2P1A2;2;1;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5G2P3A1;2;3;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5G2P3A2;2;3;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5G3P1A1;3;1;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5G3P1A2;3;1;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5G3P2A1;3;2;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5G3P2A2;3;2;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5G4P2A1;4;2;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5G4P2A2;4;2;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5G9P1A1;9;1;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5G9P1A2;9;1;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5G9P8A1;9;8;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5G9P8A2;9;8;S5RRRRR5;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRRRR
P3RRRRR5V1G1P2A1;1;2;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR5V1G1P2A2;1;2;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR5V1G1P3A1;1;3;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR5V1G1P3A2;1;3;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR5V1G2P1A1;2;1;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR5V1G2P1A2;2;1;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR5V1G2P3A1;2;3;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR5V1G2P3A2;2;3;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR5V1G3P1A1;3;1;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR5V1G3P1A2;3;1;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR5V1G3P2A1;3;2;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR5V1G3P2A2;3;2;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR5V1G4P2A1;4;2;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR5V1G4P2A2;4;2;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR5V1G9P1A1;9;1;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR5V1G9P1A2;9;1;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR5V1G9P8A1;9;8;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};\underline{\`R}{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR5V1G9P8A2;9;8;S5RRRRR5V1;{\`R}{\`R}{\`R}{\'R}{\'R};{\`R}\underline{\`R}{\`R}{\'R}{\'R};RRUR
P3RRRRR7G1P1A2;1;1;S5RRRRR7;{\`R}{\'R}{\'R}{\'R}{\`R};{\`R}\underline{\'R}{\'R}{\'R}{\`R};RRRRR
P3RRRRR7G2P2A1;2;2;S5RRRRR7;{\`R}{\'R}{\'R}{\'R}{\`R};\underline{\`R}{\'R}{\'R}{\'R}{\`R};RRRRR
P3RRRRR7G2P2A2;2;2;S5RRRRR7;{\`R}{\'R}{\'R}{\'R}{\`R};{\`R}\underline{\'R}{\'R}{\'R}{\`R};RRRRR
P3RRRRR7G3P3A1;3;3;S5RRRRR7;{\`R}{\'R}{\'R}{\'R}{\`R};\underline{\`R}{\'R}{\'R}{\'R}{\`R};RRRRR
P3RRRRR7G3P3A2;3;3;S5RRRRR7;{\`R}{\'R}{\'R}{\'R}{\`R};{\`R}\underline{\'R}{\'R}{\'R}{\`R};RRRRR
P3RRRRR7V2G1P1A2;1;1;S5RRRRR7V2;{\`R}{\'R}{\'R}{\'R}{\`R};{\`R}\underline{\'R}{\'R}{\'R}{\`R};RRRU
P3RRRRR7V2G2P2A1;2;2;S5RRRRR7V2;{\`R}{\'R}{\'R}{\'R}{\`R};\underline{\`R}{\'R}{\'R}{\'R}{\`R};RRRU
P3RRRRR7V2G2P2A2;2;2;S5RRRRR7V2;{\`R}{\'R}{\'R}{\'R}{\`R};{\`R}\underline{\'R}{\'R}{\'R}{\`R};RRRU
P3RRRRR7V2G3P3A1;3;3;S5RRRRR7V2;{\`R}{\'R}{\'R}{\'R}{\`R};\underline{\`R}{\'R}{\'R}{\'R}{\`R};RRRU
P3RRRRR7V2G3P3A2;3;3;S5RRRRR7V2;{\`R}{\'R}{\'R}{\'R}{\`R};{\`R}\underline{\'R}{\'R}{\'R}{\`R};RRRU
P3RRRRR8G1P1A1;1;1;S5RRRRR8;{\`R}{\'R}{\'R}{\`R}{\`R};\underline{\`R}{\'R}{\'R}{\`R}{\`R};RRRRR
P3RRRRR8G2P2A1;2;2;S5RRRRR8;{\`R}{\'R}{\'R}{\`R}{\`R};\underline{\`R}{\'R}{\'R}{\`R}{\`R};RRRRR
P3RRRRR8G3P3A1;3;3;S5RRRRR8;{\`R}{\'R}{\'R}{\`R}{\`R};\underline{\`R}{\'R}{\'R}{\`R}{\`R};RRRRR
P3RRRRR8V2G1P1A1;1;1;S5RRRRR8V2;{\`R}{\'R}{\'R}{\`R}{\`R};\underline{\`R}{\'R}{\'R}{\`R}{\`R};RRUR
P3RRRRR8V2G2P2A1;2;2;S5RRRRR8V2;{\`R}{\'R}{\'R}{\`R}{\`R};\underline{\`R}{\'R}{\'R}{\`R}{\`R};RRUR
P3RRRRR8V2G3P3A1;3;3;S5RRRRR8V2;{\`R}{\'R}{\'R}{\`R}{\`R};\underline{\`R}{\'R}{\'R}{\`R}{\`R};RRUR
