LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P4PRRRR4G1P2A1;2;4PRRRR;10.06.2022 17:38:50;11.06.2022 01:42:21;35.182323;691.753200926221;i.O.;103.676904061011;16.4310480871375;666.565163417768;173.141321991744;774.690143874437;270.656108251435;53.6219195500697;0.536219195500697;99.6573786063213;23.4919065902152;139.291067216737;2.22357544910168;221.942470886373;3.6347266793479;497.18746417904;148.680444824426;0;23.3314067416956;101.806352950097;5.8330743516598;267.636302439029;0.894109894969337;992.284717294547;13751.6802438509;983.317509121747;3.81522189894208;983.811222527004;3.9316282194274;74.2340374063365;11.7137946829467;99.9039720747879;0.00662952248662833;150.840426594372;285;3716;28373.84266
2;P4PRRRR4G1P3A1;2;4PRRRR;10.06.2022 17:38:50;11.06.2022 01:42:21;25.975909;700.124616349934;i.O.;124.872521252378;19.8704209673038;721.48777786655;213.806360624238;751.122793537977;242.630823292614;55.6572323487632;0.556572323487632;115.497101057623;39.2043873440186;129.775214745382;2.06721836686043;229.666480835406;3.77269936010147;530.722137526012;165.223967810378;0;34.8876734994744;103.030299508872;5.90320132382717;322.566886834769;1.11003402202282;992.444209206477;14041.9866307879;992.432540830044;8.41219983023552;988.894056386877;5.73166235594371;286.691814887345;48.3467623269611;99.9226387881976;0.00822918157787117;121.518767150438;97;3904;28107.309523
3;P4PRRRR4G1P8A1;2;4PRRRR;10.06.2022 17:38:50;11.06.2022 01:42:21;34.346182;706.307121026903;i.O.;202.301883022966;32.8921934109105;830.109965064336;365.786668080216;957.433012341061;1493.34211897493;678.357064792074;2.59016990784711;131.559046436901;66.2149534199117;247.688776735314;4.09966580617497;289.914064297139;4.89727572003902;780.045869546965;416.735237626271;0;0.0028954159384602;187.051762124664;10.7172765202283;233.750122504687;0.76923076923077;995.6726732721;24518.9854916556;991.689644058401;7.66012449579033;987.156641676635;4.95612896105021;57.59221146458;9.07132359885819;99.9940349464058;0.10672490371702;9.36988430227576;7;4894;28473.883945
4;P4PRRRR4G2P1A1;2;4PRRRR;10.06.2022 17:38:50;11.06.2022 01:42:21;101.267388;738.156525992893;i.O.;110.043319846769;17.4598059084652;588.055734498965;132.343765697184;999.474780543635;121210.214171411;996.340353967558;157.558857958857;238.533851860157;2605.36441862891;174.653717320049;2.81442053551483;180.634127213839;2.91607329844988;996.738816402041;29281.433470189;0;24.2333736917251;168.595183465568;9.65979245881087;390.901498095903;1.40985881973614;992.915479473141;14976.1603505576;980.67561581524;3.29337393536106;985.408666410537;4.3622352042587;363.528323739584;64.2421202733558;99.9781498161417;0.0291356700472826;34.3221898922235;52;7449;28749.273311
5;P4PRRRR4G3P1A1;2;4PRRRR;10.06.2022 17:38:50;11.06.2022 01:42:19;33.136862;775.09297321269;i.O.;172.658281235063;27.8062323730665;760.129955515695;252.721881350952;999.998263715586;36665638.8261621;999.992405343216;75443.2235795119;370.447669597761;517977.007791341;40.7428248692982;0.640861989617487;97.4427056156804;1.54269279053466;999.986172341686;6905939.07327124;0;15.7214120665461;90.1717793648637;5.16646238879153;366.378060771255;1.29752650826776;993.858106908016;17274.8046645266;993.517157484665;9.81973208965847;992.850866562818;8.90447795590525;-185.547158155485;-30;99.9999999363548;10002.6283828786;9.99737230777953e-05;1;7900;28729.336494
6;P4PRRRR4V1G1P2A1;2;4PRUR;10.06.2022 17:38:50;11.06.2022 01:42:19;20.755503;704.157920502275;i.O.;89.4952772689774;14.1512291451051;625.980982827901;150.160963703021;762.145005651767;255.078848793113;33.657765060575;0.33657765060575;130.556894183652;64.0747170506689;524.878647412714;10.8138029176136;360.448024302991;6.35606925150859;536.813300937321;168.434402782448;388.793550843392;69.9828391518106;1454.03826256166;83.3102556953182;278.549962490858;0.935570371329501;992.163909886064;13539.6524620116;989.752959751823;6.21218202689826;988.224545576645;5.40571212732178;31.4717620360332;4.94760394583721;99.9737270586657;0.0242310036065244;41.2694420849634;240;3361;28692.018745
7;P4PRRRR4V1G1P3A1;2;4PRUR;10.06.2022 17:38:50;11.06.2022 01:42:20;29.712226;710.193474599241;i.O.;103.573159193566;16.4143123655534;682.955266454803;183.91654044969;957.908468778572;1510.26067495817;632.569101714074;2.33949935550342;150.108380692689;122.141041948331;188.690887187521;3.05390621977908;253.733387928423;4.21100934165831;891.441803909072;871.104969864302;374.248219611431;67.3646795300576;2454.47110632371;140.630835329154;317.193377759718;1.08805488484277;992.835659704641;14809.2932202598;987.63407556423;5.14753027146319;979.922139871218;3.16970374783327;2.36230176264907;0.371071196281464;99.9935487446531;0.0986815334315089;10.1336082367839;103;2898;28252.124359
8;P4PRRRR4V1G1P8A1;2;4PRUR;10.06.2022 17:38:50;11.06.2022 01:42:21;36.088391;717.514602412788;i.O.;152.399070126548;24.4068042949919;766.054318490553;259.7618159323;981.319966697883;3407.0445438799;870.683610482799;5.35517653609324;167.440350261283;218.119575913008;298.104386233763;5.05780457935784;451.225529945859;8.57415471285204;914.000724286368;1103.63007674501;462.74980602591;83.2949650846638;2257.94521353317;129.370731107216;312.603037784199;1.06943849323088;993.986586292427;17643.9115750601;991.116872047858;7.16615203677389;980.898950166212;3.33190443128229;140.122684990597;22.3728833484812;99.9767282950734;0.0273559563435086;36.5551102452061;5;4996;28820.9174
9;P4PRRRR4V1G2P1A1;2;4PRUR;10.06.2022 17:40:13;11.06.2022 01:42:20;29.046645;711.832486930619;i.O.;149.097816879538;23.8580440724438;721.480722176451;213.800186052025;995.492655690356;14123.818618808;975.31505607254;24.1964573036585;167.204631699627;216.394263713698;47.4640145965316;0.746947515552512;109.382046594638;1.73527862182683;967.742024791751;2957.75616798884;140.439255335051;25.2790659603093;1234.21622893373;70.7153809244548;322.547540043587;1.10995452080051;992.373527788365;13911.8345567522;975.910680445634;2.64148557624113;985.296771061553;4.32902579995306;3.21190449326709;0.504529058860469;99.9981040769505;0.335783550044794;2.97810896295128;47;5954;28469.838018
10;P4PRRRR4V1G3P1A1;2;4PRUR;10.06.2022 17:40:13;11.06.2022 01:42:20;18.64156;2725505197.12915;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;8001;28867.754353
11;P4PRRRR4V1G9P1A1;2;4PRUR;10.06.2022 17:40:13;11.06.2022 01:42:16;9.835926;3339914087.83884;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;9001;28616.305112
12;P4PRRRR6G1P1A1;2;4PRRRR;10.06.2022 17:40:13;11.06.2022 01:42:20;33.204098;699.311935415062;i.O.;146.667585909954;23.4549405874715;758.376603950319;250.701487711674;868.453580277491;477.04322421515;87.1771684836;0.871771684836;118.709804968206;43.5196511491418;65.6208351812418;1.03443584532605;157.862590101661;2.53180658713276;537.353704133063;168.722556212121;0;28.8843742671886;98.4331154893234;5.63980208186204;281.074119563097;0.945253493556116;992.433471254535;14022.0572346921;986.791962544671;4.8192506185177;984.286427506822;4.05057781919756;54.4129985135628;8.56804837982089;99.9772424532154;0.0279740057781323;35.7474724189024;149;5152;28786.438904
13;P4PRRRR6G2P1A1;2;4PRRRR;10.06.2022 17:40:13;11.06.2022 01:42:21;76.160652;735.999903156417;i.O.;111.374780303532;17.6754059583799;366.954057513949;65.0049596663609;995.175958445087;13196.561020667;975.415207397794;24.2910697504765;221.753739018138;1426.16111188092;136.532066704062;2.17813790301932;100.889910541336;1.59817693196596;972.295688301769;3444.68679477447;0;9.0038976340873;144.856202467583;8.29964903768506;263.693354935285;0.879287940951417;994.840893708732;20565.7659829324;991.405063009422;7.40646607198459;988.201842196039;5.39530745514895;262.109189772844;43.6677833437112;99.796960755233;0.00313544120282749;318.934381259714;15;6286;28785.671429
